_ID_;_MAIN_CATEGORY_;_CATEGORY_;_NAME_;_MODEL_;_SKU_;_MANUFACTURER_;_DESCRIPTION_;_STATUS_;_SEO_KEYWORD_;_ATTRIBUTES_;_PRODUCT_IMAGES_
17379;;"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-115/650 72/12/3 Вихрь";00000001517;72/12/3;;;1;;;
17380;;"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-125/1100 72/12/2 Вихрь";00000004795;УШМ1251100Р;;;1;;;
17381;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-125/1200 72/12/7 Вихрь";00000014179;УШМ1251200Р;;"<p>Углошлифовальная машина Вихрь УШМ-125/1200Э 72/12/7 применяется для шлифования и зачистки поверхностей, а также для резания деталей из различных материалов. Система электронного регулирования позволяет выбирать оптимальную скорость для выполнения определенного вида задачи: так частота оборотов варьируется от 800 до 12000 оборотов в минуту. Расположенные на металлическом корпусе отверстия вентиляции защищают внутренние узлы от перегрева.Угловая шлифмашина ВИХРЬ УШМ-125/1200Э снабжена защитным кожухом, закрывающим пильный диск, благодаря чему в процессе работы искры и мелкие частицы не попадают на пользователя. Комплектацию устройства дополняет рукоятка, способная фиксироваться в 3 положениях: справа, слева, сверху.&nbsp;&nbsp;<br></p>";1;;"Характеристики|Мощность (Вт)|1200
Характеристики|Тип продукта|ушм (болгарка)
Характеристики|Вес нетто (кг)|2.3
Характеристики|Бренд|Вихрь
Характеристики|Страна производства|Китай";
17382;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-125/800 72/12/9 Вихрь";00000017787;72/12/9;;"<p>Углошлифовальная машина Вихрь УШМ-125/800 используется для зачистки, шлифования поверхности, резки материала. Укомплектована электрическим двигателем мощностью 0.8 кВт для надежной производительной работы. Вытянутый корпус обеспечивает более удобное удержание инструмента во время работы. Удобный ползунковый выключатель. Дополнительная боковая рукоятка с возможностью фиксации в двух положениях. Металлический корпус редуктора и качественные комплектующие позволяют увеличить срок эксплуатации инструмента. На корпусе находятся вентиляционные отверстия для защиты рабочего механизма от перегрева. Для быстрой и безопасной замены рабочей оснастки предусмотрена кнопка блокировки шпинделя.<br></p>";1;;"Характеристики|Мощность (Вт)|800
Характеристики|Тип продукта|ушм (болгарка)
Характеристики|Вес нетто (кг)|2.08
Характеристики|Диаметр диска (мм)|125
Характеристики|Бренд|Вихрь
Характеристики|Страна производства|Китай";
17383;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-125/900 72/12/1 Вихрь";00000001518;72/12/1;;"<p>&nbsp; Особенности С помощью блокировки шпинделя можно быстро заменить насадку.</p><p>Дополнительная рукоятка упрощает пользование углошлифовальной машиной вихрь УШМ-125/900 72/12/1.</p><p>Вентиляционные отверстия - для отвода тепла от двигателя Двухпозиционная клавиша включения для удобства ведения продолжительной по времени работы </p><p>Сравнительно малый вес снижает энергоемкость рабочего процесса</p><p>&nbsp;Защитный кожух </p><p>Технические характеристики </p><p>Номинальная потребляемая мощность: 900 Вт </p><p>Диаметр круга: 125 мм </p><p>Число оборотов холостого хода: 11000 об/мин </p><p>Номинальное напряжение: 220 В </p><p>Частота тока: 50 Гц </p><p>Вес: 2.1 кг </p><p>Комплект поставки:Боковая рукоятка Паспорт Упаковка&nbsp;&nbsp;</p>";1;;"Характеристики|Мощность (Вт)|900
Характеристики|Тип продукта|ушм (болгарка)
Характеристики|Вес нетто (кг)|2.1
Характеристики|Бренд|Вихрь
Характеристики|Страна производства|Китай";
17384;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-150/1300 72/12/4 Вихрь";00000001519;УШМ1501300Р;;"<p>&nbsp; Угловая шлифмашина Вихрь УШМ-150/1300 72/12/4 оснащена двигателем мощностью 1300 Вт. Для быстрой и легкой смены дисков предусмотрена блокировка шпинделя. Боковая рукоятка позволяет лучше контролировать инструмент во время работы.Диамтер диска составляет 150 мм.Особенности ушма Вихрь УШМ-150/1300 БезопасностьНажатием на кнопку блокируется движение шпинделя, что позволяет безопасно заменить оснастку. НадежностьИнструмент оснащен дополнительной рукояткой для надежного хвата и удержания инструмента во время работы. БезопасностьПильный диск прикрыт плотно прилегающим защитным кожухом для защиты оператора от образующейся в рабочей зоне пыли.Преимущества Высокая мощность; Удобное удержание машины за счет компактности корпуса; Напряжение: 220 В.&nbsp;&nbsp;<br></p>";1;;"Характеристики|Мощность (Вт)|1300
Характеристики|Тип продукта|ушм (болгарка)
Характеристики|Вес нетто (кг)|3.6
Характеристики|Бренд|Вихрь
Характеристики|Страна производства|Китай";
17385;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-150/1400 72/12/8 Вихрь";00000015973;УШМ150/1400Э;;"<p>Вес без упаковки, кг: 2,3 Диаметр диска, мм: 150 Частота вращения, об/мин: 4000 Частота, Гц: 50 Питание: От электросети Мощность, Вт: 1400 Напряжение сети, В: 220 Возможности: фиксация шпинделя, блокировка кнопки включения, доп. рукоятка трехпозиционная Гарантия, мес.: 12 Страна бренда: Россия Страна производства: Китай Вес в упаковке: 2.83 кг Модель: УШМ-150/1400Э Бренд: Вихрь Комплект поставки: Угловая шлифовальная машина 1шт. Боковая рукоятка 1 шт. Защитный кожух 1 шт. Ключ фланцевый 1 шт. Паспорт (инструкция) 1 шт. Упаковка 1 шт.<br></p>";1;;"Характеристики|Мощность (Вт)|1400
Характеристики|Тип продукта|ушм (болгарка)
Характеристики|Бренд|Вихрь
Характеристики|Страна производства|Китай";catalog/products/Углошл._машина_УШМ-150-1400_72-12-8_Вихрь_55d0dd89.jpg
17386;;"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-150/1400Э 72/12/8 Вихрь";00000015872;УШМ-150-1400Э;;;1;;;
17387;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-180/1800 72/12/5 Вихрь";00000001520;УШМ1801800Р;;"<p>Питание - от электросети Напряжение сети - 220 В Частота - 50 Гц Частота вращения - 7500 об/мин Боковая рукоятка - трехпозиционная Плавный пуск - Есть Фиксация шпинделя - Есть Блокировка кнопки включения - Есть Диаметр шлифовального круга - 180 мм Номинальная мощность - 1800 Вт<br></p>";1;;"Характеристики|Мощность (Вт)|1800
Характеристики|Тип продукта|ушм (болгарка)
Характеристики|Вес нетто (кг)|5.5
Характеристики|Диаметр диска (мм)|180
Характеристики|Бренд|Вихрь
Характеристики|Страна производства|Китай";catalog/products/Углошл._машина_УШМ-180-1800_72-12-5_Вихрь_7d0f77de.jpg
17388;;"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-230/1800 Киров";00000009352;УШМ2301800;;;1;;;
17389;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-230/2300 72/12/6 Вихрь";00000004796;72/12/6;;"<p>Угловая шлифмашина (болгарка) вихрь УШМ-230/2300.Углошлифовальная машина (болгарка) вихрь используется для зачистки, шлифования поверхности, резки материала.Комплект поставки: Угловая шлифовальная машина 1шт. Боковая рукоятка 1 шт. Защитный кожух 1 шт. Ключ фланцевый 1 шт.Паспорт (инструкция) 1 шт. Упаковка 1 шт.  <br></p>";1;ugloshl-mashina-ushm-230-2300-72-12-6-vihr;"Характеристики|Мощность (Вт)|2300
Характеристики|Плавный пуск|Есть
Характеристики|Тип продукта|ушм (болгарка)
Характеристики|Вес нетто (кг)|5.3
Характеристики|Диаметр диска (мм)|230
Характеристики|Число оборотов (об/мин)|6000
Характеристики|Бренд|Вихрь
Характеристики|Страна производства|Китай";catalog/products/Углошл._машина_УШМ-230-2300_72-12-6_Вихрь_f155245d.jpg
17390;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл.машина УШМ-125/1200э 72/12-7 Вихрь";00000014178;УШМ-125/1200э;;"<p>Углошлифовальная машина Вихрь УШМ-125/1200Э 72/12/7 применяется для шлифования и зачистки поверхностей, а также для резания деталей из различных материалов. Система электронного регулирования позволяет выбирать оптимальную скорость для выполнения определенного вида задачи: так частота оборотов варьируется от 800 до 12000 оборотов в минуту. Расположенные на металлическом корпусе отверстия вентиляции защищают внутренние узлы от перегрева.Угловая шлифмашина ВИХРЬ УШМ-125/1200Э снабжена защитным кожухом, закрывающим пильный диск, благодаря чему в процессе работы искры и мелкие частицы не попадают на пользователя. Комплектацию устройства дополняет рукоятка, способная фиксироваться в 3 положениях: справа, слева, сверху.&nbsp;&nbsp;<br></p>";1;;"Характеристики|Мощность (Вт)|1200
Характеристики|Вес нетто (кг)|2.3
Характеристики|Страна производства|Китай";
17391;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошлиф.маш. Интерскол УШМ-115/1000 1010Вт";00000008065;УШМ-115/1000;;<p><br></p>;1;ugloshlif-mash-interskol-ushm-115-1000-1010vt;;
17392;;"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошлиф.маш. Интерскол УШМ-115/750 1010Вт";00000013278;УШМ-115/750;;;1;;;
17393;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошлиф.маш. Интерскол УШМ-115/900 900Вт";00000006308;УШМ-115/900;;"<p>Тип питания от сети </p><p><br></p><p>Макс. диаметр диска 115 мм</p><p><br></p><p> Потребляемая мощность 900 ВтРезьба шпинделя M14</p><p><br></p><p>Диаметр посадочного отверстия 22 мм </p><p><br></p><p>Макс. частота вращения диска 11000 об/мин Особенности конструкции блокировка кнопки включения, дополнительная рукоятка, фиксация шпинделя </p><p><br></p><p>Тип рукоятки двухпозиционнаяВес 2.2 кг</p>";1;;"Характеристики|Мощность (Вт)|900
Характеристики|Вес нетто (кг)|2.2
Характеристики|Бренд|Интерскол";
17394;;"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошлиф.маш. Интерскол УШМ-125/1100Э 1100Вт";00000000577;УШМ-125/1100Э;;;1;;;
17395;;"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошлиф.маш. Интерскол УШМ-125/1400ЭЛ 125мм 1400Вт ";00000011024;УШМ-125/1400ЭЛ;;;1;;;
17396;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошлиф.маш. Интерскол УШМ-125/750 125мм  750Вт";00000012573;УШМ-125/750;;"<p>Тип питанияот сети</p><p><br></p><p>Макс. диаметр диска125 ммПотребляемая мощность750 Вт</p><p><br></p><p>Резьба шпинделяM14</p><p><br></p><p>Диаметр посадочного отверстия 22 мм</p><p><br></p><p>Макс. частота вращения диска 11000 об/мин</p><p><br></p><p>Особенности конструкции блокировка кнопки включения, дополнительная рукоятка, фиксация шпинделяКоличество дисков 1</p><p><br></p><p>Тип рукоятки двухпозиционная</p>";1;;"Характеристики|Мощность (Вт)|750
Характеристики|Бренд|Интерскол";
17397;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошлиф.маш. Интерскол УШМ-125/900 125мм  900Вт";00000000578;УШМ-125/900;;"<p>Профессиональная малая одноручная углошлифовальная машина. Применяется для абразивной резки металлоизделий, для шлифовки, зачистки сварных швов. Продолжительный режим работы. Малые размеры позволяют работать в стесненных условиях. Самый востребованный размер круга 125мм. Кнопка блокировки шпинделя для замены оснастки. Два варианта установки дополнительной рукоятки.<br></p>";1;;"Характеристики|Мощность (Вт)|900
Характеристики|Вес нетто (кг)|1.75
Характеристики|Бренд|Интерскол";catalog/products/Углошлиф.маш._Интерскол_УШМ-125-900_125мм__900Вт_2e56728a.jpg
17398;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошлиф.маш. Интерскол УШМ-150/1300 150мм  1,3кВт";00000000579;"УШМ-150/1300 ";;"<p>ИНТЕРСКОЛ представляет новинку – среднюю сетевую угловую шлифовальную машину (болгарку). Машина относится к профессиональному классу.</p><p>УШМ предназначена для работы со стандартной оснасткой 150 мм и относится к небольшой, но крайне важной группе машин, используемых в случае, если глубины реза 125 мм кругом недостаточно, а 230 мм круг слишком большой и работать им неудобно. Модели популярны у профессиональных электриков и сантехников и т.д., оснащены коллекторными двигателями, развивающими до 35 000 оборотов в минуту, компактными, мощными, современными, а главное – рассчитанными на продолжительный режим работы.</p><p>Двигатель бронирован – статер защищен слоем полиэфирного компаунда, на роторе установлены лобовины и бандаж, защищающие обмотки от соприкосновения с абразивными частицами шлама, но не препятствующие их охлаждению.</p><p>УШМ-150/1300 - универсальный инструмент, имеющий небольшие габариты и вес для отрезных и шлифовальных работ, абразивной обработки разнообразных материалов. Обмотки якоря пропитаны дважды, используются термостойкие полиэфирные компаунды класса «H», позволяющие эксплуатировать электродвигатель при температурах до 180 градусов, это повышает износостойкость пропитки, надежность электродвигателя, его ресурс и позволяет повысить мощность на 15% при той же массе двигателя. Как результат - уменьшенный диаметр корпуса УШМ позволяет работать в ограниченном пространстве. Прекрасно подходит для производства работ, где важны малые габариты инструмента, например, для работы в стесненных условиях, но в то же время требуется достаточная мощность.</p>";1;;"Характеристики|Мощность (Вт)|1300
Характеристики|Вес нетто (кг)|2.9
Характеристики|Бренд|Интерскол";
17399;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошлиф.маш. Интерскол УШМ-180/1800М 180мм  1,8кВт";00000000580;УШМ-180/1800М;;"<p>Профессиональная двуручная углошлифовальная машина. Применяется для абразивной резки металлоизделий, для шлифовки, зачистки сварных швов. Удобна при производстве работ, когда требуется промежуточный размер круга.Мощный, надежный, бронированный двигатель серии С. Низкопрофильный редуктор. Механизм быстрого доступа к щеткам.Кнопка блокировки шпинделя для замены оснастки. Три варианта установки дополнительной рукоятки. Поворотная основная рукоятка.&nbsp;&nbsp;<br></p>";1;;"Характеристики|Мощность (Вт)|1800
Характеристики|Плавный пуск|Есть
Характеристики|Вес нетто (кг)|4.5
Характеристики|Поддержание постоянных оборотов под нагрузкой|Да
Характеристики|Бренд|Интерскол";catalog/products/Углошлиф.маш._Интерскол_УШМ-180-1800М_180мм__18кВт_29f8923c.jpg
17400;;"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошлиф.маш. Интерскол УШМ-230/2000М  2,0кВт";00000018144;УШМ-230/2000М;;;1;;;
17401;;"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошлиф.маш. Интерскол УШМ-230/2100М Т 2,1кВт";00000000581;УШМ-230/2100М;;;1;;;
17402;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошлиф.маш. Интерскол УШМ-230/2300М  2,3кВт";00000000582;УШМ-230/2300М;;"<p>Профессиональная большая двуручная углошлифовальная машина. Применяется для абразивной резки металлоизделий, для шлифовки, зачистки сварных швов.Особенности:- Продолжительный режим работы.- Плавный пуск.- Механизм быстрого доступа к щеткам.- Кнопка блокировки шпинделя для замены оснастки.- Три варианта установки дополнительной рукоятки.- Поворотная основная рукоятка.&nbsp;&nbsp;<br></p>";1;;"Характеристики|Мощность (Вт)|2300
Характеристики|Плавный пуск|Да
Характеристики|Вес нетто (кг)|5.4
Характеристики|Диаметр диска (мм)|230
Характеристики|Поддержание постоянных оборотов под нагрузкой|Да
Характеристики|Защита от непреднамеренного пуска|Да
Характеристики|Бренд|Интерскол";catalog/products/Углошлиф.маш._Интерскол_УШМ-230-2300М__23кВт_b6308566.jpg
17403;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошлиф.маш. Интерскол УШМ-230/2600М  2,6кВт";00000000583;УШМ-230/2600М;;"<p>Углошлифовальная машина рассчитана на работу с оснасткой диаметром 230 мм, производительный и надежный двигатель обеспечивает самую высокую мощность среди всех УШМ. Мощнейший бронированный двигатель, работа в продолжительном режиме, оптимальный вес, возможность выбора удобного сочетания положений основной и вспомогательной рукояток обеспечивает надежность и высокую точность при выполнении самых тяжелых работ. УШМ имеет наилучшее соотношение мощность/вес.Бронированный двигатель рассчитан на продолжительный режим работы (режим S1), при номинальной нагрузке может работать, не требуя перерывов на охлаждение. Это особенно важно, когда инструмент используется в профессиональных целях, в том числе для проведения работ по шлифовке поверхностей. Есть плавный пуск для снижения нагрузок на сеть и уменьшения гироскопического момента при запуске двигателя. Доступ к щёткам упрощён – для их проверки и замены достаточно отвернуть два винта и снять две небольшие крышки на боковинах корпуса.&nbsp;&nbsp;<br></p>";1;;"Характеристики|Мощность (Вт)|2600
Характеристики|Вес нетто (кг)|6.4
Характеристики|Диаметр диска (мм)|2600
Характеристики|Бренд|Интерскол";
17413;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошлифов. машина (болгарка), ЗУБР Профессионал УШМ-П125-1400 ЭПСТ, удлин. рукоятка, конст. электро";00000015303;"УШМ-П125-1400 ЭПСТ";;"<p>Производительная угловая шлифмашина ЗУБР УШМ-П125-1400 ЭПСТ, несмотря на свою компактность, обеспечит качественный результат при проведении зачистки, шлифования и резки металлических изделий. Система плавного пуска обеспечивает двигателю постепенный запуск, не допуская рывков и перегрузки. Регулирование оборотов помогает при выполнении различных рабочих процессов.</p><p>Угловая шлифмашина ЗУБР УШМ-П125-1400 ЭПСТ очень эргономична и отличается удобством эксплуатации. Ее основная рукоять с мягкими накладками способна поворачиваться вокруг своей оси, обеспечивая удобство хвата, также она обладает антивибрационным эффектом. Голова с поворотом шага на 90 градусов подстраивается под особенности и нужды пользователя. «Подстройку» под пользователя осуществляет и дополнительная рукоятка, способная фиксироваться в 2 положениях.</p>";1;;"Характеристики|Мощность (Вт)|1400
Характеристики|Вес нетто (кг)|3.5
Характеристики|Регулировка скорости|Есть
Характеристики|Диаметр диска (мм)|125
Характеристики|Бренд|ЗУБР
Характеристики|Страна производства|Китай";
17414;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошлифов. машина (болгарка), ЗУБР Профессионал УШМ-П230-2100 ПВ, одноруч. хват, конст. электрон.";00000016366;"УШМ-П230-2100 ПВ";;"<p>Серьезная модель с увеличенной мощностью двигателя. Оптимальный выбор для любой работы - резки, шлифования, обдирки, зачистки. Отличные характеристики, высокая надежность, усиленная пылезащита и антивибрационная защита помогают работать максимально эффективно<br></p>";1;;"Характеристики|Мощность (Вт)|2100
Характеристики|Вес нетто (кг)|5
Характеристики|Диаметр диска (мм)|230
Характеристики|Защита от непреднамеренного пуска|Да
Характеристики|Бренд|ЗУБР";catalog/products/Углошлифов._машина_болгарка_ЗУБР_Профессионал_УШМ-П230-2100_ПВ_одноруч._хват_ко_O3w2WPJ.jpg
